Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
17267.9948201857,4.1705313,-499.98584,0.0002777699110243056,24.446663
17268.9948202332,4.1691923,-500.00555,0.1391676502651638,24.47039
17269.9948202807,4.1685624,-500.12369,0.2780550576951769,24.486206
17270.9948203282,4.1681685,-500.00555,0.4169421919250488,24.248947
17271.99482037569,4.1677747,-499.94644,0.5558321166483561,24.502024
17272.99482042319,4.1673808,-499.96613,0.6947197864108615,24.438755
17273.99482047069,4.1671839,-499.96613,0.8336062417941623,24.351759
17274.99482051819,4.1668692,-500.02524,0.9724939016215006,24.58111
17275.99482056568,4.1664357,-499.98584,1.111381287095812,24.422937
17276.99482061318,4.1662388,-500.02524,1.250269898410373,24.375486
17277.99482066068,4.1660419,-500.06464,1.38915783094618,24.58111
17278.99482070818,4.1657662,-499.96613,1.528045500962999,24.557384
17279.99482075567,4.1654119,-500.06464,1.666933991834852,24.40712
17280.99482080317,4.1652541,-500.04495,1.8058224172465,24.359669
17281.99482085067,4.1650181,-500.14343,1.944711291419135,24.335941
17282.99482089817,4.1647425,-500.04495,2.08359889594184,24.478298
17283.99482094566,4.1645455,-499.96613,2.222485657925076,24.612743
17284.99482099316,4.164309,-500.00555,2.361373076375326,24.399212
17285.99482104066,4.1642303,-500.06464,2.500261633148194,24.375486
17286.99482108816,4.1640334,-499.98584,2.639148953111437,24.40712
17287.99482113565,4.1638365,-500.04495,2.778036273244222,24.565292
17288.99482118315,4.1636395,-499.98584,2.916924162343343,24.41503
17289.99482123065,4.1635218,-499.98584,3.055812631293403,24.557384
17290.99482127815,4.1632853,-499.98584,3.194700629798041,24.375486
17291.99482132564,4.163167,-500.00555,3.333588354814317,24.58111
17292.99482137314,4.1628523,-499.98584,3.472474656999376,24.312216
17293.99482142064,4.162931,-500.04495,3.611363717007107,24.573202
17294.99482146814,4.1626158,-499.96613,3.750251266937255,24.40712
17295.99482151563,4.1624584,-500.14343,3.889139079640706,24.612743
17296.99482156313,4.1623402,-499.92676,4.028025414835612,24.383394
17297.99482161063,4.1620646,-500.04495,4.166914715593125,24.41503
17298.99482165813,4.1619859,-499.96613,4.305802932874891,24.636471
17299.99482170562,4.1619072,-500.04495,4.444690855034722,24.486206
17300.99482175312,4.1616707,-500.14343,4.58357723393758,24.541567
17301.99482180062,4.1614738,-499.98584,4.722463229946559,24.517841
17302.99482184812,4.1614342,-500.02524,4.861352377353243,24.770916
17303.99482189561,4.1612377,-500.02524,5.000241765289306,24.383394
17304.99482194311,4.1611586,-500.08429,5.139127793969047,24.676014
17305.99482199061,4.1608829,-500.02524,5.278013746185302,24.660196
17306.9948220381,4.1608829,-500.00555,5.416899567159016,24.74719
17307.9948220856,4.160686,-499.98584,5.555786000484889,24.636471
17308.9948221331,4.1605682,-500.00555,5.694674086371526,24.161953
17309.9948221806,4.1602921,-500.00555,5.833561187811956,24.573202
17310.99482222809,4.1601744,-500.04495,5.972449197319877,24.589018
17311.99482227559,4.1601744,-499.96613,6.1113359705268,24.517841
17312.99482232309,4.1600561,-499.92676,6.250222612270778,24.320126
17313.99482237059,4.1598988,-500.00555,6.389108586374918,24.612743
17314.99482241808,4.1597018,-500.06464,6.527995129682752,24.786734
17315.99482246558,4.1595836,-499.94644,6.666881683926052,24.541567
17316.99482251308,4.1594257,-500.02524,6.805768588443332,24.462481
17317.99482256058,4.1593471,-499.90707,6.944654858211941,24.755098
17318.99482260807,4.1592684,-500.06464,7.083541620347764,24.69183
17319.99482265557,4.1590714,-500.02524,7.222428064812553,24.541567
17320.99482270307,4.1589928,-499.96613,7.361314509599473,24.620653
17321.99482275057,4.1588745,-500.00555,7.50020123840332,24.683922
17322.99482279806,4.1587563,-499.96613,7.639088755255805,24.683922
17323.99482284556,4.1586385,-500.02524,7.77797416015625,24.723465
17324.99482289306,4.1585598,-499.94644,7.916858908487955,24.818367
17325.99482294056,4.1584415,-500.00555,8.055743132137723,24.763008
17326.99482298805,4.158205,-500.00555,8.194629948883057,24.604836
17327.99482303555,4.1581264,-499.98584,8.333517389339871,24.525749
17328.99482308305,4.157969,-499.92676,8.472402258216011,24.731373
17329.99482313055,4.157969,-499.96613,8.61128633923001,24.739283
17330.99482317804,4.1577325,-499.90707,8.750172170952693,24.69183
17331.99482322554,4.1576934,-499.84796,8.889058965911866,24.660196
17332.99482327304,4.1575356,-500.00555,9.027944546118844,24.699739
17333.99482332054,4.1574569,-500.02524,9.166829360165067,24.715555
17334.99482336803,4.1573782,-500.02524,9.30571444797092,24.897453
